Sort_Key,Translate,Resort,Century,Quatrain,Merged_Line,Line,Couplet,French,English,
7000001,#REF!,1,7,0,1,1,A,"Qui legent hosce versus, maturé censunte :","Let those who read this verse consider it profoundly,",
7000002,#REF!,1,7,0,1,2,B,Prophanum vulgus & inscium ne attrectato :,Let the profane and the ignorant herd keep away:,
7000003,#REF!,1,7,0,2,3,A,"Omnesque Astrologi, Blenni, Barbari procul sunto,","And far away all Astrologers, Idiots and Barbarians,",
7000004,#REF!,1,7,0,2,4,B,"Qui aliter faxit, is rité sacer esto.",May he who does otherwise be subject to the sacred rite.,
8000001,#VALUE!,2,8,0,1,1,A,,,
8000002,#VALUE!,2,8,0,1,2,B,,,
8000003,#VALUE!,2,8,0,2,3,A,,,
8000004,#VALUE!,2,8,0,2,4,B,,,
9000001,#VALUE!,3,9,0,1,1,A,,,
9000002,#VALUE!,3,9,0,1,2,B,,,
9000003,#VALUE!,3,9,0,2,3,A,,,
9000004,#VALUE!,3,9,0,2,4,B,,,
10000001,#VALUE!,4,10,0,1,1,A,,,
10000002,#VALUE!,4,10,0,1,2,B,,,
10000003,#VALUE!,4,10,0,2,3,A,,,
10000004,#VALUE!,4,10,0,2,4,B,,,
11000001,#VALUE!,5,11,0,1,1,A,,,
11000002,#VALUE!,5,11,0,1,2,A,,,
11000003,#VALUE!,5,11,0,2,3,B,,,
11000004,#VALUE!,5,11,0,3,4,C,,,
11000005,#VALUE!,5,11,0,3,5,C,,,
11000006,#VALUE!,5,11,0,2,6,B,,,
12000001,#VALUE!,6,12,0,1,1,A,,,
12000002,#VALUE!,6,12,0,1,2,B,,,
12000003,#VALUE!,6,12,0,2,3,A,,,
12000004,#VALUE!,6,12,0,2,4,B,,,
1000001,#VALUE!,7,1,0,1,1,A,,,
1000002,#VALUE!,7,1,0,1,2,B,,,
1000003,#VALUE!,7,1,0,2,3,A,,,
1000004,#VALUE!,7,1,0,2,4,B,,,
2000001,#VALUE!,8,2,0,1,1,A,,,
2000002,#VALUE!,8,2,0,1,2,B,,,
2000003,#VALUE!,8,2,0,2,3,A,,,
